word0,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,word18,word19,word20,word21,word22,word23,word24,word25,word26,word27,word28,word29,time,label,top3
"('뉴스1', 0.029356373474001884)","('정일훈', 0.026295281946659088)","('글', 0.024472810328006744)","('하', 0.02342931553721428)","('소식', 0.021936502307653427)","('길다', 0.021200217306613922)","('여러분', 0.02049228362739086)","('미안', 0.018662843853235245)","('시간', 0.016223886981606483)","('비투비', 0.014815280213952065)","('입대', 0.014545832760632038)","('짧다', 0.014278890565037727)","('행복', 0.012530428357422352)","('멤버', 0.011074434034526348)","('저', 0.010992863215506077)","('오랜만', 0.010941462591290474)","('되다', 0.01090454962104559)","('사랑', 0.010888678021728992)","('그', 0.01002020575106144)","('멜로디', 0.010003384202718735)","('다시', 0.009754542261362076)","('점', 0.009541124105453491)","('생각', 0.009450584650039673)","('팬', 0.009240960702300072)","('김세정', 0.009237988851964474)","('또한', 0.00920864287763834)","('이렇다', 0.009187567979097366)","('육성재', 0.00880416389554739)","('동안', 0.008665863424539566)","('그동안', 0.008236083202064037)",2020.05.28,0,뉴스1/ 정일훈/ 글
"('개최', 0.014609345234930515)","('연기', 0.014272229745984077)","('계룡세계군', 0.013574340380728245)","('사건', 0.011773678474128246)","('전', 0.011722617782652378)","('행사', 0.010422836057841778)","('경계', 0.010191002860665321)","('계룡시', 0.010178007185459137)","('엑스포', 0.00983523204922676)","('충남', 0.009750003926455975)","('결과', 0.00933687761425972)","('문화엑스포', 0.009317380376160145)","('조사', 0.009280598722398281)","('조직위', 0.008443648926913738)","('김재규', 0.008412334136664867)","('대통령', 0.00820363312959671)","('부장', 0.008150913752615452)","('협의', 0.008149290457367897)","('결정', 0.007662252523005009)","('기관', 0.007572588976472616)","('발표', 0.007382431998848915)","('지사', 0.007102913223206997)","('차지철', 0.007047631777822971)","('해안', 0.00668485788628459)","('등', 0.006650558672845364)","('회의', 0.006500387564301491)","('년', 0.00639717373996973)","('양승조', 0.006062394008040428)","('취소', 0.00597943551838398)","('의회', 0.005815241951495409)",2020.05.28,1,개최/ 연기/ 계룡세계군
"('장군', 0.02243684232234955)","('백', 0.017883893102407455)","('충원', 0.01745796389877796)","('현', 0.01732190139591694)","('안장', 0.011872844770550728)","('친', 0.011387970298528671)","('보훈처', 0.010715515352785587)","('박', 0.009303495287895203)","('전쟁', 0.008659024722874165)","('서울', 0.008623022586107254)","('파', 0.008448624983429909)","('하다', 0.007915845140814781)","('백선엽', 0.007748091127723455)","('당', 0.007456513587385416)","('원내대표', 0.007242336869239807)","('들', 0.006664085667580366)","('처장', 0.006489918567240238)","('이다', 0.0059548644348979)","('국가', 0.005850738380104303)","('것', 0.005795659497380257)","('있다', 0.00574283953756094)","('통합', 0.005698956083506346)","('일', 0.0054261088371276855)","('주장', 0.005201737862080336)","('보도', 0.005009256303310394)","('삼', 0.0048434254713356495)","('국회', 0.004721751902252436)","('대장', 0.00471720565110445)","('사람', 0.0047120992094278336)","('일본', 0.004691781010478735)",2020.05.28,2,장군/ 백/ 충원
"('명', 0.06886561214923859)","('확진', 0.028403352946043015)","('검사', 0.02023402974009514)","('코로나', 0.01566534861922264)","('학원', 0.01532795187085867)","('판정', 0.014947565272450447)","('자', 0.014212722890079021)","('대구', 0.012969559989869595)","('환자', 0.012588457204401493)","('받다', 0.012042305432260036)","('강사', 0.010149531997740269)","('시험', 0.00963007565587759)","('격리', 0.009056873619556427)","('양성', 0.008405571803450584)","('대구시', 0.008091684430837631)","('천', 0.008076955564320087)","('음성', 0.008046640083193779)","('접촉', 0.007982383482158184)","('군', 0.007505455054342747)","('중', 0.007221021223813295)","('추가', 0.007205710280686617)","('장정', 0.0068234167993068695)","('감염', 0.00674101710319519)","('센터', 0.006665362045168877)","('전수', 0.006548913195729256)","('이다', 0.006529586389660835)","('물류', 0.006492177955806255)","('실시', 0.006429343484342098)","('일', 0.006386075168848038)","('대', 0.006269186735153198)",2020.05.28,3,명/ 확진/ 검사
"('년', 0.007123111747205257)","('중국', 0.006564845331013203)","('되', 0.0062786610797047615)","('주민', 0.006195677910000086)","('이다', 0.00605717021971941)","('경제', 0.006025183014571667)","('원', 0.006003892980515957)","('성', 0.005977810360491276)","('육군', 0.0058434996753931046)","('공연', 0.005177195183932781)","('뉴시스', 0.005039897281676531)","('함', 0.004618425853550434)","('육아휴직', 0.004424717742949724)","('만', 0.004383681807667017)","('지다', 0.004367338493466377)","('군', 0.004305041395127773)","('뮤지컬', 0.004242348484694958)","('월', 0.004228110425174236)","('사업', 0.004186793230473995)","('지역', 0.003826708532869816)","('귀환', 0.003805703017860651)","('여성', 0.003767080372199416)","('지난해', 0.0037539545446634293)","('사단', 0.003696002997457981)","('경찰', 0.0036745157558470964)","('틱톡', 0.003659565467387438)","('관계자', 0.0036276348400861025)","('있다', 0.0034156490582972765)","('당시', 0.003385323565453291)","('장관', 0.0033634614665061235)",2020.05.28,4,년/ 중국/ 되
"('공군', 0.05409891530871391)","('장교', 0.034953027963638306)","('소위', 0.027888206765055656)","('임관', 0.021122580394148827)","('하사', 0.011894277296960354)","('우주', 0.011211710050702095)","('전역', 0.011126089841127396)","('기', 0.011001205071806908)","('할아버지', 0.010566134005784988)","('임관식', 0.009886624291539192)","('발사', 0.009867087006568909)","('아버지', 0.00979829765856266)","('정', 0.009175256825983524)","('후', 0.00900278240442276)","('수여', 0.007705876138061285)","('근무', 0.007686232216656208)","('해', 0.007507027592509985)","('트럼프', 0.007264398504048586)","('학사사관', 0.007001918740570545)","('유해', 0.0069908504374325275)","('하', 0.006849325727671385)","('째', 0.006435106508433819)","('기상', 0.00628704996779561)","('참모', 0.006117307115346193)","('상', 0.006034847814589739)","('신임', 0.006021604873239994)","('훈장', 0.005990625359117985)","('훈련', 0.005608472973108292)","('대', 0.0054504056461155415)","('대령', 0.005240012425929308)",2020.05.28,5,공군/ 장교/ 소위
