word0,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,word18,word19,word20,word21,word22,word23,word24,word25,word26,word27,word28,word29,time,label,top3
"('해군', 0.04055776819586754)","('소위', 0.03903423994779587)","('명', 0.03070715442299843)","('선발', 0.02696112170815468)","('전형', 0.023317329585552216)","('해병대', 0.019057000055909157)","('해병', 0.018715333193540573)","('사관학교', 0.014857618138194084)","('특별', 0.012995881028473377)","('장교', 0.012875005602836609)","('우선', 0.012192289344966412)","('헝가리', 0.012034837156534195)","('구조', 0.011223134584724903)","('임관', 0.010865211486816406)","('아버지', 0.010460951365530491)","('할아버지', 0.009395084343850613)","('자녀', 0.009305260144174099)","('입시', 0.009011344984173775)","('종합', 0.008753843605518341)","('사고', 0.00804105680435896)","('복무', 0.00796444434672594)","('학년도', 0.007949323393404484)","('수여', 0.006859798450022936)","('공병', 0.006616554688662291)","('등', 0.006556099280714989)","('임관식', 0.006505696568638086)","('대위', 0.006259249988943338)","('황', 0.006131216883659363)","('해상', 0.006128360517323017)","('여성', 0.006048392038792372)",2020.05.29,0,해군/ 소위/ 명
"('장군', 0.04008376598358154)","('백', 0.03541634976863861)","('충원', 0.024177806451916695)","('현', 0.023348884657025337)","('친', 0.016410652548074722)","('안장', 0.014547695405781269)","('뮤지컬', 0.014236938208341599)","('롭', 0.013916190713644028)","('슬기', 0.013816961087286472)","('간도특설대', 0.013123787939548492)","('사생활', 0.012587659060955048)","('채송화', 0.012585318647325039)","('시청자', 0.012028799392282963)","('대전', 0.010887826792895794)","('법', 0.010521882213652134)","('웹툰', 0.010420547798275948)","('민족', 0.010357576422393322)","('반', 0.010277180932462215)","('하', 0.009749680757522583)","('스타', 0.009462439455091953)","('묘지', 0.009261071681976318)","('분', 0.008955215103924274)","('들', 0.008907991461455822)","('역', 0.008749747648835182)","('안치홍', 0.008284265175461769)","('장근석', 0.00787422340363264)","('백선엽', 0.007684865966439247)","('공연', 0.007393136154860258)","('친일', 0.007296758238226175)","('영웅', 0.007252260576933622)",2020.05.29,1,장군/ 백/ 충원
"('확진', 0.022821441292762756)","('명', 0.019079120829701424)","('받다', 0.01831979677081108)","('판정', 0.017386795952916145)","('부대', 0.01714470237493515)","('코로나', 0.016860412433743477)","('시', 0.01680261269211769)","('씨', 0.015562953427433968)","('격리', 0.013789636082947254)","('복귀', 0.013411551713943481)","('휴가', 0.013389723375439644)","('오후', 0.01330277044326067)","('병사', 0.01316619012504816)","('철원', 0.01215236634016037)","('장병', 0.011141535826027393)","('인천', 0.010423206724226475)","('지나다', 0.009951885789632797)","('상병', 0.009775868616998196)","('일', 0.00913031492382288)","('검사', 0.009083013981580734)","('감염', 0.008521497249603271)","('자', 0.008219453506171703)","('분', 0.008188649080693722)","('되', 0.007975100539624691)","('당국', 0.0076943435706198215)","('센터', 0.006983721163123846)","('완치', 0.006487226579338312)","('내', 0.006486905738711357)","('강원도', 0.006105673499405384)","('군', 0.00607093283906579)",2020.05.29,2,확진/ 명/ 받다
"('하다', 0.015370833687484264)","('이다', 0.01395095232874155)","('있다', 0.011221762746572495)","('헬기', 0.010209150612354279)","('사업', 0.009479389525949955)","('전', 0.00931797455996275)","('거', 0.009196220897138119)","('그', 0.00841145683079958)","('되다', 0.007995394058525562)","('대통령', 0.007921136915683746)","('들', 0.007689876947551966)","('무장', 0.007424559444189072)","('미군', 0.007039265241473913)","('공격', 0.006626271642744541)","('그렇다', 0.006089299451559782)","('되', 0.0058828494511544704)","('장비', 0.005856407806277275)","('영상', 0.005835091229528189)","('않다', 0.005785778164863586)","('이런', 0.0057424940168857574)","('사람', 0.005665444768965244)","('오다', 0.005537362303584814)","('수', 0.005184150766581297)","('민주', 0.005015100818127394)","('화', 0.004931413568556309)","('부장', 0.004899440333247185)","('길', 0.004754122346639633)","('나오다', 0.0046993158757686615)","('지금', 0.004590720869600773)","('주한', 0.004503386560827494)",2020.05.29,3,하다/ 이다/ 있다
"('하', 0.020177897065877914)","('월', 0.01802583411335945)","('전쟁', 0.015929892659187317)","('북한군', 0.014542972669005394)","('사건', 0.014362103305757046)","('년', 0.01372602954506874)","('중령', 0.012595592066645622)","('장철부', 0.011563880369067192)","('전투', 0.011282362043857574)","('결과', 0.011106532998383045)","('조사', 0.010867452248930931)","('공개', 0.010078745894134045)","('전공', 0.009742824360728264)","('세우다', 0.009523501619696617)","('선정', 0.00934904720634222)","('지구', 0.009119355119764805)","('제', 0.008068151772022247)","('발표', 0.007931896485388279)","('보훈처', 0.007854747585952282)","('일본군', 0.00748429074883461)","('뉴시스', 0.0074301534332334995)","('한국군', 0.007339491043239832)","('추서', 0.007024572696536779)","('초기', 0.007009794004261494)","('청송', 0.007002537604421377)","('대대', 0.006896468810737133)","('조달', 0.006621032487601042)","('전개', 0.006177033297717571)","('근무', 0.006176666356623173)","('독립', 0.006126983556896448)",2020.05.29,4,하/ 월/ 전쟁
"('콜롬비아', 0.01830693706870079)","('뉴스1', 0.015410211868584156)","('정보', 0.013134672306478024)","('교육', 0.012769540771842003)","('사령관', 0.011750739999115467)","('주택', 0.010932279750704765)","('지원', 0.010212560184299946)","('하', 0.009881464764475822)","('육군학생군사학교', 0.009770987555384636)","('상', 0.00969003327190876)","('사진', 0.009653594344854355)","('전문사관', 0.009370919317007065)","('장교', 0.009249519556760788)","('육군', 0.008937373757362366)","('단지', 0.008848985657095909)","('생도', 0.008833113126456738)","('제보', 0.008596242405474186)","('등', 0.008182915858924389)","('참전', 0.008130903355777264)","('제공', 0.00799822062253952)","('시원', 0.007911695167422295)","('미', 0.0071928794495761395)","('스쿨', 0.007065553218126297)","('통신', 0.007026494015008211)","('예정', 0.006935042794793844)","('협약', 0.006814675405621529)","('뉴시스', 0.006787558551877737)","('분야', 0.006705718580633402)","('군', 0.0066298614256083965)","('천', 0.006417030468583107)",2020.05.29,5,콜롬비아/ 뉴스1/ 정보
