word0,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,word18,word19,word20,word21,word22,word23,word24,word25,word26,word27,word28,word29,time,label,top3
"('씨', 0.017259912565350533)","('시험', 0.01684407703578472)","('뉴시스', 0.014107569120824337)","('위안부', 0.013843920081853867)","('코로나', 0.013566087000072002)","('확진', 0.012815998867154121)","('감염', 0.01233663223683834)","('제보', 0.009295695461332798)","('생', 0.00900697149336338)","('선발', 0.008312806487083435)","('뉴스', 0.008131087757647038)","('제도', 0.007987383753061295)","('대학', 0.0074004982598125935)","('서울', 0.007322855293750763)","('교수', 0.007273021619766951)","('응시자', 0.007257521618157625)","('농가', 0.007061143405735493)","('시', 0.006923931185156107)","('영상', 0.006786084733903408)","('채널', 0.0067641856148839)","('육군', 0.0066314274445176125)","('언론', 0.00662910845130682)","('받다', 0.00650803092867136)","('운동', 0.006492584943771362)","('판매', 0.006448716390877962)","('명', 0.006445485632866621)","('전화', 0.006297579500824213)","('여러분', 0.00623279856517911)","('차', 0.006007628981024027)","('글', 0.005766762886196375)",2020.05.27,0,씨/ 시험/ 뉴시스
"('정', 0.026213090866804123)","('하사', 0.02146740071475506)","('유해', 0.019868139177560806)","('수여', 0.019072571769356728)","('보트', 0.015592960640788078)","('해경', 0.014407563954591751)","('훈장', 0.013837744481861591)","('밀입국', 0.013073869980871677)","('태안', 0.012643108144402504)","('고지', 0.011757995001971722)","('화살', 0.011517559178173542)","('머리', 0.011445052921772003)","('발굴', 0.01132519543170929)","('월', 0.00989410188049078)","('년', 0.009792053140699863)","('전투', 0.009277722798287868)","('발견', 0.009107876569032669)","('전사자', 0.008977174758911133)","('확인', 0.008829621598124504)","('무공훈장', 0.008734798058867455)","('씨', 0.00868117343634367)","('화랑무공훈장', 0.008610140532255173)","('유족', 0.008593951351940632)","('경계', 0.008381379768252373)","('조사단', 0.008370096795260906)","('아들', 0.008156358264386654)","('못하다', 0.008055826649069786)","('타다', 0.007092447951436043)","('일', 0.006805575452744961)","('신원', 0.00644091097638011)",2020.05.27,1,정/ 하사/ 유해
"('원', 0.06868254393339157)","('만', 0.05728689581155777)","('사고', 0.05180644989013672)","('보험', 0.04063266143202782)","('억', 0.028731660917401314)","('부담금', 0.02770104818046093)","('내다', 0.026029551401734352)","('보상', 0.024830706417560577)","('약관', 0.016784826293587685)","('운전자', 0.016262654215097427)","('음주', 0.01609165221452713)","('음주운전', 0.014711718074977398)","('대인', 0.014172600582242012)","('최대', 0.01406575832515955)","('임의', 0.013697034679353237)","('대물', 0.013323220424354076)","('뺑소니', 0.013323220424354076)","('부담', 0.012651345692574978)","('시', 0.012621920555830002)","('사망', 0.012446608394384384)","('자동차', 0.012056581676006317)","('보험사', 0.010418200865387917)","('개정', 0.010369043797254562)","('자동차보험', 0.010351899079978466)","('약', 0.010073665529489517)","('발생', 0.009518747217953205)","('보험금', 0.008948368951678276)","('가입', 0.008875402621924877)","('지급', 0.008712385781109333)","('출퇴근', 0.008591562509536743)",2020.05.27,2,원/ 만/ 사고
"('브라질', 0.015555120073258877)","('대통령', 0.01494327001273632)","('산업', 0.012125463224947453)","('미국', 0.01073084119707346)","('뉴스1', 0.010195774026215076)","('나루', 0.010075830854475498)","('보우소', 0.009610096924006939)","('사업', 0.00889717135578394)","('방위', 0.008559555746614933)","('방산', 0.008183624595403671)","('해외', 0.008045884780585766)","('용', 0.007954285480082035)","('방역', 0.007941804826259613)","('있다', 0.007765504065901041)","('프린터', 0.007707503624260426)","('적', 0.007663993164896965)","('개최', 0.007393047213554382)","('군사학', 0.0072590941563248634)","('시장', 0.007135981693863869)","('장관', 0.007096402812749147)","('전시회', 0.007090581115335226)","('훈련', 0.006940917577594519)","('코로나', 0.006590500473976135)","('월', 0.006551029626280069)","('입학', 0.006416081450879574)","('행사', 0.006391479633748531)","('생도', 0.006342521868646145)","('국제', 0.006243296433240175)","('미', 0.006150596309453249)","('지역', 0.006054210476577282)",2020.05.27,3,브라질/ 대통령/ 산업
"('유엔사', 0.029987230896949768)","('정전', 0.028036847710609436)","('수석대표', 0.021008087322115898)","('조사', 0.02072342112660408)","('유엔군', 0.018944229930639267)","('닭', 0.018236160278320312)","('신임', 0.01631435751914978)","('사령부', 0.016077157109975815)","('협정', 0.01570911891758442)","('토종', 0.013407149352133274)","('군사', 0.013220825232565403)","('하', 0.011650999076664448)","('소장', 0.011312579736113548)","('강인수', 0.011216744780540466)","('수석', 0.010931827127933502)","('사령관', 0.010479387827217579)","('장성', 0.010366366244852543)","('한국군', 0.01017138734459877)","('위', 0.010101808235049248)","('북한군', 0.009974795393645763)","('업무', 0.009387918747961521)","('작전', 0.009345152415335178)","('맡다', 0.008781918324530125)","('대표', 0.008392613381147385)","('위원회', 0.008180065080523491)","('임무', 0.007697842083871365)","('취임', 0.007573198061436415)","('앞', 0.0074993642047047615)","('구성', 0.007305661682039499)","('총격', 0.0070582241751253605)",2020.05.27,4,유엔사/ 정전/ 수석대표
"('장군', 0.01680852472782135)","('백', 0.013725408352911472)","('이다', 0.012374091893434525)","('하다', 0.01191460620611906)","('친', 0.010694150812923908)","('의원', 0.010512810200452805)","('신', 0.010218562558293343)","('보훈처', 0.009267037734389305)","('현', 0.00842093676328659)","('충원', 0.008295353502035141)","('안장', 0.008160332217812538)","('그', 0.008157233707606792)","('들', 0.008119097910821438)","('것', 0.008007463067770004)","('위원장', 0.007938309572637081)","('법', 0.007875948213040829)","('국립묘지', 0.007519467268139124)","('선', 0.0070492662489414215)","('거', 0.006668761372566223)","('파', 0.006622221786528826)","('일', 0.006605986040085554)","('없다', 0.006516959052532911)","('그렇다', 0.006194533780217171)","('측', 0.0061887698248028755)","('김재규', 0.005918335169553757)","('전', 0.005891907028853893)","('북한', 0.005875475704669952)","('국방위', 0.00562601862475276)","('당', 0.0054872902110219)","('민주당', 0.005111804232001305)",2020.05.27,5,장군/ 백/ 이다
