word0,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,word18,word19,word20,word21,word22,word23,word24,word25,word26,word27,word28,word29,time,label,top3
"('들', 0.015590381808578968)","('이다', 0.014039084315299988)","('시장', 0.01033244002610445)","('하다', 0.008913830853998661)","('수호', 0.007196919992566109)","('훈련', 0.007013160269707441)","('그', 0.006870142184197903)","('김준하', 0.006633238401263952)","('분', 0.006381045561283827)","('노래', 0.00593158695846796)","('사람', 0.005457672756165266)","('공개', 0.005377530585974455)","('더', 0.00530593516305089)","('보다', 0.005168406758457422)","('사진', 0.004815227817744017)","('거', 0.004794345702975988)","('뒤', 0.004760679788887501)","('가다', 0.004681059624999762)","('되다', 0.00463934475556016)","('배우', 0.0045806351117789745)","('보이다', 0.004567342810332775)","('년', 0.004543522838503122)","('롭', 0.0044101509265601635)","('때', 0.004384143743664026)","('주다', 0.004243021830916405)","('사회', 0.0041764872148633)","('육군훈련소', 0.004157749470323324)","('중대장', 0.0041116937063634396)","('훈련병', 0.004089019261300564)","('나', 0.0039610592648386955)",2020.06.03,0,들/ 이다/ 시장
"('혈장', 0.015765821561217308)","('코로나', 0.013170653954148293)","('뉴시스', 0.012785832397639751)","('씨', 0.012184466235339642)","('명', 0.011554382741451263)","('대통령', 0.011546560563147068)","('진급', 0.01113632507622242)","('수치', 0.010443117469549179)","('문', 0.01039294246584177)","('환자', 0.01023115310817957)","('하', 0.010216763243079185)","('장병', 0.008967346511781216)","('시험', 0.008918695151805878)","('치료', 0.008466361090540886)","('삼정', 0.008334037847816944)","('검', 0.008334037847816944)","('이', 0.007683544885367155)","('아버지', 0.007574653252959251)","('확진', 0.007314315065741539)","('관계', 0.0071590556763112545)","('학생', 0.006549615412950516)","('중장', 0.006474385038018227)","('받다', 0.005898608360439539)","('확인', 0.005819452926516533)","('공단', 0.005560898222029209)","('감염', 0.005338684655725956)","('미군', 0.0053323544561862946)","('생', 0.005224430467933416)","('되', 0.00515389209613204)","('공감', 0.005068967584520578)",2020.06.03,1,혈장/ 코로나/ 뉴시스
"('뉴스1', 0.029225369915366173)","('혐의', 0.02367400750517845)","('대표', 0.02106218785047531)","('갤럭시', 0.02047397382557392)","('승리', 0.01875770278275013)","('출시', 0.01708258129656315)","('전', 0.01675586774945259)","('유', 0.014762341976165771)","('알선', 0.01191292516887188)","('상', 0.011415545828640461)","('성매매', 0.011363772675395012)","('횡령', 0.011236900463700294)","('삼성전자', 0.011017450131475925)","('에어컨', 0.010569747537374496)","('월', 0.010507168248295784)","('전문', 0.010466289706528187)","('근무', 0.01001276820898056)","('추경', 0.009794281795620918)","('멤버', 0.00927877239882946)","('이동식', 0.008818498812615871)","('받다', 0.00862139742821455)","('기소', 0.008290854282677174)","('유리', 0.008266031742095947)","('환경', 0.008218392729759216)","('재판', 0.007906182669103146)","('홀딩스', 0.007855339907109737)","('부', 0.007817824371159077)","('유인석', 0.0077621713280677795)","('인정', 0.007448361720889807)","('모집', 0.007277725730091333)",2020.06.03,2,뉴스1/ 혐의/ 대표
"('인도', 0.013961916789412498)","('전쟁', 0.009685935452580452)","('한국', 0.00895144697278738)","('영화', 0.008639628067612648)","('참전', 0.008514170534908772)","('중국', 0.008324328809976578)","('서비스', 0.00720825744792819)","('마스크', 0.007113668601959944)","('만', 0.006764169782400131)","('위성', 0.006560726091265678)","('용사', 0.006503175478428602)","('장', 0.005872503854334354)","('년', 0.005860146600753069)","('층', 0.005769922863692045)","('월', 0.005755844991654158)","('당시', 0.005581713281571865)","('함', 0.0054740156047046185)","('데이터', 0.00537876645103097)","('미사일', 0.0050590564496815205)","('권', 0.005045396275818348)","('육군', 0.005029269028455019)","('장사', 0.004961995407938957)","('링크', 0.004874578211456537)","('인터넷', 0.0048492285422980785)","('차', 0.004830585792660713)","('미', 0.004623853601515293)","('서울경제', 0.004562043584883213)","('병사', 0.004512828774750233)","('전투', 0.004490151070058346)","('재단', 0.004429724533110857)",2020.06.03,3,인도/ 전쟁/ 한국
"('헬기', 0.021715521812438965)","('보훈', 0.014634568244218826)","('씨', 0.011167063377797604)","('유해', 0.010051089338958263)","('적', 0.00993507169187069)","('하', 0.009658335708081722)","('군', 0.009574596770107746)","('발굴', 0.009428807534277439)","('대상자', 0.009055331349372864)","('전쟁터', 0.008864139206707478)","('적십자', 0.00868613924831152)","('블랙', 0.008601523004472256)","('호크', 0.008497828617691994)","('보상', 0.00802593119442463)","('트위터', 0.007742923218756914)","('합참', 0.007238785736262798)","('스트레스', 0.007227645255625248)","('상급자', 0.007182651199400425)","('업무', 0.007091674953699112)","('지적', 0.006735877133905888)","('용', 0.006667197681963444)","('사망', 0.006496384274214506)","('상징', 0.006495840381830931)","('의료', 0.006414178758859634)","('비행', 0.006369739770889282)","('수행', 0.006006049923598766)","('현장', 0.0057690260000526905)","('의장', 0.005751984193921089)","('총장', 0.005688303615897894)","('위협', 0.005624622572213411)",2020.06.03,4,헬기/ 보훈/ 씨
"('주', 0.01944868452847004)","('시위', 0.016325941309332848)","('워싱턴', 0.014472811482846737)","('병력', 0.01198238879442215)","('트럼프', 0.009975309483706951)","('방위군', 0.008447138592600822)","('경찰', 0.008434634655714035)","('있다', 0.008197392337024212)","('시위대', 0.007946869358420372)","('되', 0.007743954658508301)","('대통령', 0.00743359699845314)","('플로이드', 0.00707975123077631)","('투입', 0.006908549461513758)","('백악관', 0.006093447096645832)","('국방부', 0.006044699344784021)","('미국', 0.005978382658213377)","('폭동', 0.005947615951299667)","('진압', 0.005832785274833441)","('뉴욕', 0.005826388951390982)","('요청', 0.004841510206460953)","('흑인', 0.004837997257709503)","('시간', 0.0047892979346215725)","('항의', 0.004750157240778208)","('배치', 0.00473123649135232)","('폭력', 0.004688117187470198)","('인종', 0.004450894892215729)","('인근', 0.0044073364697396755)","('대응', 0.00437850272282958)","('차별', 0.004305374342948198)","('현지', 0.004300415050238371)",2020.06.03,5,주/ 시위/ 워싱턴
