word0,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,word18,word19,word20,word21,word22,word23,word24,word25,word26,word27,word28,word29,time,label,top3
"('장관', 0.02504418045282364)","('뉴시스', 0.02388722449541092)","('적', 0.01932954415678978)","('하다', 0.0191941075026989)","('총장', 0.017754429951310158)","('분', 0.015196857042610645)","('본인', 0.015040745958685875)","('차', 0.01416561845690012)","('가다', 0.012098336592316628)","('대통령', 0.012081584893167019)","('거론', 0.012061054818332195)","('주장', 0.011780597269535065)","('비용', 0.011573262512683868)","('촉구', 0.011548910290002823)","('국가', 0.01087144948542118)","('등', 0.0100813377648592)","('실장', 0.010064337402582169)","('오다', 0.009931563399732113)","('국방', 0.009819542989134789)","('정치', 0.009710959158837795)","('시', 0.009461231529712677)","('출신', 0.009278582409024239)","('보안', 0.009259970858693123)","('안보', 0.009166485629975796)","('가능', 0.008993970230221748)","('반', 0.008970045484602451)","('하', 0.008716645650565624)","('정부', 0.008441292680799961)","('참석', 0.007870244793593884)","('상황', 0.007837568409740925)",2020.05.30,0,장관/ 뉴시스/ 적
"('귀환', 0.041099559515714645)","('뮤지컬', 0.03424997255206108)","('연기', 0.03137625381350517)","('공연', 0.02930264174938202)","('일', 0.028973398730158806)","('개막', 0.028715666383504868)","('육군', 0.018510980531573296)","('제작사', 0.018488401547074318)","('코로나', 0.017955826595425606)","('월', 0.01734478399157524)","('재', 0.01706586219370365)","('관객', 0.017034921795129776)","('엔터테인먼트', 0.016758112236857414)","('인사이트', 0.016758108511567116)","('확산', 0.015887834131717682)","('취소', 0.015316600911319256)","('출연', 0.015222236514091492)","('창작', 0.01505980733782053)","('정부', 0.013353543356060982)","('시우민', 0.012385889887809753)","('이용', 0.011914243921637535)","('디오', 0.011563168838620186)","('스타', 0.010895230807363987)","('주년', 0.010676996782422066)","('윤', 0.010258177295327187)","('방역', 0.010211015120148659)","('그룹', 0.010014664381742477)","('속보', 0.009245912544429302)","('본부', 0.009227794595062733)","('기획', 0.008901399560272694)",2020.05.30,1,귀환/ 뮤지컬/ 연기
"('명', 0.03029038943350315)","('확진', 0.020736314356327057)","('특수', 0.020391887053847313)","('학교', 0.017840448766946793)","('병사', 0.017323074862360954)","('전', 0.016548629850149155)","('경제', 0.016215112060308456)","('등교', 0.016159189864993095)","('헌혈', 0.014835739508271217)","('검사', 0.014514491893351078)","('개량', 0.013051028363406658)","('판정', 0.011608492583036423)","('화', 0.011405082419514656)","('만', 0.010734821669757366)","('코로나', 0.010723497718572617)","('당국', 0.010600974783301353)","('운', 0.009640579111874104)","('사업', 0.009583539329469204)","('음성', 0.009485533460974693)","('결과', 0.009448688477277756)","('장비', 0.009439324960112572)","('도입', 0.009389035403728485)","('성능', 0.00933357235044241)","('아시아', 0.008823552168905735)","('받다', 0.008364878594875336)","('헬기', 0.008302434347569942)","('장병', 0.008265577256679535)","('감염', 0.008058863691985607)","('중', 0.007995400577783585)","('학생', 0.007705220021307468)",2020.05.30,2,명/ 확진/ 특수
"('시위', 0.025939585641026497)","('미니애폴리스', 0.025468824431300163)","('주', 0.024591714143753052)","('파견', 0.020641181617975235)","('지시', 0.016518501564860344)","('하', 0.01626501977443695)","('국방부', 0.01445154007524252)","('경찰', 0.01433244626969099)","('기지', 0.014013031497597694)","('투입', 0.013810686767101288)","('미국', 0.013691474683582783)","('흑인', 0.013572298921644688)","('시간', 0.012418314814567566)","('병력', 0.011932139284908772)","('사건', 0.011242847889661789)","('통신', 0.010986271314322948)","('폭동', 0.010814517736434937)","('포트', 0.009896189905703068)","('준비', 0.009439917281270027)","('백인', 0.009300611913204193)","('트럼프', 0.00882099661976099)","('진압', 0.008746569976210594)","('요청', 0.008488633669912815)","('플로이드', 0.008446870371699333)","('미네소타', 0.007884311489760876)","('되', 0.007255836855620146)","('이', 0.006963588297367096)","('전하다', 0.0068001653999090195)","('현지', 0.0067666396498680115)","('대비', 0.0067532118409872055)",2020.05.30,3,시위/ 미니애폴리스/ 주
"('정신대', 0.03109629638493061)","('이다', 0.02556721307337284)","('위안부', 0.021496528759598732)","('장군', 0.017063021659851074)","('현', 0.01452521700412035)","('공군', 0.014441754668951035)","('들', 0.012328298762440681)","('하다', 0.011632905341684818)","('그', 0.01138185616582632)","('말', 0.011282561346888542)","('없다', 0.010989397764205933)","('더', 0.010951203294098377)","('세계', 0.009982672519981861)","('복무', 0.009896265342831612)","('미', 0.009859031066298485)","('비행', 0.009642021730542183)","('장교', 0.009630757384002209)","('일본', 0.00962870940566063)","('통하다', 0.00942185427993536)","('사용', 0.009314918890595436)","('때', 0.00911461841315031)","('전쟁', 0.008779648691415787)","('지원', 0.008571348153054714)","('않다', 0.00843803957104683)","('지다', 0.008355052210390568)","('나', 0.00833817571401596)","('되다', 0.007862378843128681)","('기간', 0.007508344482630491)","('대학', 0.007455464918166399)","('작전', 0.0073616281151771545)",2020.05.30,4,정신대/ 이다/ 위안부
"('리성국', 0.042852193117141724)","('위원장', 0.033274829387664795)","('김', 0.02422075904905796)","('군단장', 0.023223813623189926)","('당', 0.02042905054986477)","('대', 0.02024037390947342)","('신문', 0.019270161166787148)","('년', 0.017486784607172012)","('시찰', 0.015096312388777733)","('연평도', 0.014924534596502781)","('수령', 0.013407913036644459)","('가풍', 0.013407913036644459)","('방어', 0.013404324650764465)","('충실', 0.013271425850689411)","('서남', 0.012832892127335072)","('북한', 0.012758477590978146)","('전선', 0.012284900061786175)","('세', 0.012263699434697628)","('국', 0.011720535345375538)","('군단', 0.011355021968483925)","('리성', 0.01129629835486412)","('집안', 0.011231017298996449)","('노동', 0.010874725878238678)","('잇다', 0.010697763413190842)","('서해', 0.010663062334060669)","('병원', 0.010198567062616348)","('찾다', 0.009928954765200615)","('사실', 0.009919851087033749)","('사망', 0.009770374745130539)","('병', 0.009730922989547253)",2020.05.30,5,리성국/ 위원장/ 김
