word0,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,word18,word19,word20,word21,word22,word23,word24,word25,word26,word27,word28,word29,time,label,top3
"('최', 0.009699425660073757)","('사진', 0.009370389394462109)","('들', 0.00872033927589655)","('육성재', 0.008296854794025421)","('일병', 0.007722347043454647)","('그', 0.00760243646800518)","('군번', 0.007446666248142719)","('스타', 0.00722077488899231)","('훈련병', 0.007207922171801329)","('육군훈련소', 0.006980609614402056)","('경호원', 0.006953821517527103)","('공개', 0.006866138428449631)","('방송', 0.006656819023191929)","('씨', 0.006079427432268858)","('뉴스', 0.006060826126486063)","('줄', 0.006039710715413094)","('수호', 0.00583758344873786)","('전사자', 0.005582442507147789)","('영재', 0.005406567361205816)","('사단', 0.005323461722582579)","('비디오', 0.005170727148652077)","('확인', 0.005082821007817984)","('당시', 0.005055597051978111)","('국적', 0.0049682860262691975)","('전쟁', 0.00492072431370616)","('가다', 0.004907014314085245)","('년', 0.0048180739395320415)","('동료', 0.004645219538360834)","('전달', 0.004585110582411289)","('지나다', 0.004550553858280182)",2020.06.02,0,최/ 사진/ 들
"('진급', 0.02929913066327572)","('수치', 0.028193669393658638)","('대통령', 0.023174256086349487)","('삼정', 0.022327560931444168)","('검', 0.020877165719866753)","('청와대', 0.016510289162397385)","('문', 0.016186358407139778)","('중장', 0.015789391472935677)","('수여식', 0.014084329828619957)","('명', 0.013389511033892632)","('영빈관', 0.011049341410398483)","('행사', 0.010621370747685432)","('마스크', 0.009088581427931786)","('수여', 0.008936888538300991)","('문재인', 0.00870802253484726)","('사령관', 0.008644819259643555)","('장성', 0.00797383300960064)","('주다', 0.007838456891477108)","('안보', 0.007805425673723221)","('한국', 0.00726873567327857)","('보직', 0.007224385626614094)","('열리다', 0.007160323206335306)","('자', 0.00688928971067071)","('강', 0.0067566027864813805)","('국민', 0.006729534827172756)","('이름', 0.00653899135068059)","('달다', 0.005836747586727142)","('더', 0.0057486542500555515)","('대변인', 0.0057237232103943825)","('동아일보', 0.005262555554509163)",2020.06.02,1,진급/ 수치/ 대통령
"('참전', 0.021296529099345207)","('중국', 0.01669657975435257)","('유공자', 0.015845688059926033)","('국가', 0.01070035807788372)","('인도', 0.010315101593732834)","('뉴시스', 0.01011467631906271)","('보훈처', 0.009342064149677753)","('전상', 0.00918219331651926)","('등록', 0.008219772949814796)","('발굴', 0.008160394616425037)","('군', 0.008068613708019257)","('사업', 0.007506633643060923)","('중사', 0.00743887247517705)","('판정', 0.006712227128446102)","('취업', 0.006270704325288534)","('있다', 0.006246060132980347)","('이익', 0.006190951447933912)","('차량', 0.005964159034192562)","('손해배상', 0.0058774640783667564)","('인도군', 0.005750956479460001)","('보훈', 0.005692472215741873)","('입다', 0.005666329059749842)","('선정', 0.00566345639526844)","('용사', 0.005595537833869457)","('되', 0.0053542195819318295)","('장비', 0.0052872817032039165)","('공상', 0.005263113416731358)","('지역', 0.005247090011835098)","('액', 0.005244342144578695)","('공단', 0.005214139353483915)",2020.06.02,2,참전/ 중국/ 유공자
"('사격', 0.01672917790710926)","('박보검', 0.016286533325910568)","('씨', 0.014565538614988327)","('해군', 0.01120135746896267)","('전', 0.009848756715655327)","('합격', 0.0089883366599679)","('탄흔', 0.008387312293052673)","('이다', 0.008369098417460918)","('병', 0.008354381658136845)","('시험', 0.008271795697510242)","('지원', 0.008174371905624866)","('홍보', 0.007240393664687872)","('군악병', 0.006961789447814226)","('결과', 0.006553256418555975)","('없다', 0.006204946432262659)","('문화', 0.005585548467934132)","('연예', 0.0054590883664786816)","('대하다', 0.0053658559918403625)","('뉴스1', 0.005106830969452858)","('측', 0.005102000664919615)","('보다', 0.004976258147507906)","('피아노', 0.004945929162204266)","('실장', 0.004911848343908787)","('차장', 0.004896268714219332)","('문제', 0.004732184112071991)","('김', 0.004727631341665983)","('하', 0.004655029159039259)","('입영', 0.004634815733879805)","('퇴학', 0.004622377920895815)","('년', 0.004614567384123802)",2020.06.02,3,사격/ 박보검/ 씨
"('워싱턴', 0.016950573772192)","('시위대', 0.0156713780015707)","('주', 0.015611570328474045)","('시위', 0.014019477181136608)","('미국', 0.013761535286903381)","('헬기', 0.01360677182674408)","('트럼프', 0.011525745503604412)","('경찰', 0.01080628577619791)","('호크', 0.010162337683141232)","('블랙', 0.010101794265210629)","('투입', 0.009872037917375565)","('비행', 0.007826084271073341)","('하', 0.00770164467394352)","('폭동', 0.0075607625767588615)","('진압', 0.007371698971837759)","('방위군', 0.007323824800550938)","('시간', 0.00694983871653676)","('교회', 0.006935273762792349)","('배치', 0.00653686560690403)","('현지', 0.006506567355245352)","('백악관', 0.00617200369015336)","('뉴욕', 0.006071148440241814)","('대통령', 0.005824551917612553)","('플로이드', 0.005706874653697014)","('흑인', 0.005611584521830082)","('지사', 0.005587454419583082)","('라코타', 0.0055740345269441605)","('보도', 0.00546066090464592)","('미', 0.005236197263002396)","('기동', 0.0051462990231812)",2020.06.02,4,워싱턴/ 시위대/ 주
"('개월', 0.11886051297187805)","('복무', 0.07652125507593155)","('기간', 0.07610021531581879)","('단축', 0.05508657544851303)","('공군', 0.050029028207063675)","('병', 0.02961830236017704)","('병사', 0.01713208667933941)","('병역법', 0.016954462975263596)","('해군', 0.014179477468132973)","('현역', 0.014118925668299198)","('역자', 0.01190483570098877)","('적용', 0.011620878241956234)","('년', 0.010894499719142914)","('의결', 0.010767437517642975)","('해병대', 0.01073978841304779)","('되', 0.01016250066459179)","('육군', 0.009930025786161423)","('월', 0.009576872922480106)","('조정', 0.009247157722711563)","('해병', 0.008612539619207382)","('향상', 0.008312609046697617)","('국무회의', 0.008256826549768448)","('이후', 0.008159969933331013)","('되다', 0.008141878992319107)","('따르다', 0.008038140833377838)","('내년', 0.007228251546621323)","('국방', 0.007106934208422899)","('전역', 0.007011684123426676)","('씩', 0.006828833371400833)","('개정안', 0.00677556823939085)",2020.06.02,5,개월/ 복무/ 기간
