word0,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,word18,word19,word20,word21,word22,word23,word24,word25,word26,word27,word28,word29,time,label,top3
"('씨', 0.05747757852077484)","('의원', 0.031902845948934555)","('위원장', 0.021445516496896744)","('선', 0.015552975237369537)","('당', 0.014336650259792805)","('노', 0.013320346362888813)","('박', 0.013154735788702965)","('혐의', 0.01249651052057743)","('관계', 0.01186921913176775)","('감금', 0.01169378962367773)","('상병', 0.011090910993516445)","('민주당', 0.010797194205224514)","('위', 0.010445400141179562)","('통합', 0.010078164748847485)","('남성', 0.009423005394637585)","('모', 0.009418155066668987)","('검찰', 0.009070794098079205)","('이', 0.008955195546150208)","('장', 0.00859321653842926)","('북한', 0.008573326282203197)","('아버지', 0.008078615181148052)","('수사', 0.007842697203159332)","('중령', 0.007814769633114338)","('국회', 0.007543178275227547)","('머니투데이', 0.007449560333043337)","('협박', 0.007427890785038471)","('강원', 0.0073559959419071674)","('정', 0.007187934126704931)","('경향신문', 0.007174874190241098)","('유족', 0.0070743742398917675)",2020.06.04,0,씨/ 의원/ 위원장
"('주', 0.019372355192899704)","('시위', 0.013554633595049381)","('경찰', 0.01053251326084137)","('방위군', 0.010187318548560143)","('되', 0.008864086121320724)","('중국', 0.008831417188048363)","('시위대', 0.00812518410384655)","('플로이드', 0.00804282259196043)","('보도', 0.0074912868440151215)","('워싱턴', 0.007477863691747189)","('하', 0.007403544615954161)","('사령관', 0.007131662219762802)","('기업', 0.006969299633055925)","('만', 0.006677495315670967)","('적', 0.006453773006796837)","('폭력', 0.006308427546173334)","('존', 0.006288522854447365)","('그', 0.0062789032235741615)","('미군', 0.005855712573975325)","('따르다', 0.005818771198391914)","('권', 0.005788492038846016)","('보이다', 0.005609008949249983)","('정부', 0.005560785066336393)","('뉴욕', 0.005550902336835861)","('앞', 0.0054894303902983665)","('최근', 0.005440209060907364)","('미국', 0.0053245192393660545)","('평화', 0.00512911519035697)","('주한', 0.005050172097980976)","('조지', 0.004882830195128918)",2020.06.04,1,주/ 시위/ 경찰
"('뉴시스', 0.018996894359588623)","('시', 0.014374298974871635)","('뉴스1', 0.012682897970080376)","('시설', 0.012492839246988297)","('업무', 0.01074846088886261)","('오후', 0.010565328411757946)","('하', 0.010492080822587013)","('사고', 0.0104866037145257)","('참전', 0.010424014180898666)","('회원', 0.009227843955159187)","('전투', 0.008762030862271786)","('코로나', 0.008693424053490162)","('계획', 0.008546399883925915)","('직', 0.008529802784323692)","('회', 0.008467467501759529)","('월', 0.008115292526781559)","('년', 0.008044924587011337)","('중사', 0.007787854410707951)","('문화', 0.0076987300999462605)","('기', 0.007661179173737764)","('전시회', 0.007596207782626152)","('후', 0.007569549139589071)","('보훈', 0.007332234643399715)","('도시', 0.007222172804176807)","('서울시', 0.007048646919429302)","('포로', 0.007041155826300383)","('시험', 0.006836947053670883)","('재개', 0.006659164559096098)","('간', 0.006565766409039497)","('보건소', 0.006452228873968124)",2020.06.04,2,뉴시스/ 시/ 뉴스1
"('영상', 0.043584927916526794)","('들', 0.02621585875749588)","('이다', 0.023244304582476616)","('있다', 0.019268184900283813)","('명', 0.018436124548316002)","('충원', 0.014893877319991589)","('현', 0.014540843665599823)","('교회', 0.014421265572309494)","('하다', 0.012243733741343021)","('자료', 0.012236983515322208)","('거', 0.011857930570840836)","('군인', 0.011753508821129799)","('일본', 0.011644041165709496)","('목사', 0.010927818715572357)","('군인권센터', 0.010798354633152485)","('보다', 0.010418686084449291)","('되다', 0.010167294181883335)","('수집', 0.010000016540288925)","('전', 0.009548691101372242)","('주다', 0.00942184031009674)","('전쟁', 0.008781894110143185)","('이', 0.008648932911455631)","('안장', 0.007741592824459076)","('정', 0.007699613459408283)","('앵커', 0.0073425062000751495)","('한국', 0.007114287465810776)","('찾다', 0.006732529029250145)","('분위기', 0.0066296933218836784)","('제주', 0.006539730820804834)","('급', 0.006506523583084345)",2020.06.04,3,영상/ 들/ 이다
"('훈련', 0.03489537909626961)","('유해', 0.03436966985464096)","('발굴', 0.02314355969429016)","('사격', 0.019214536994695663)","('사단', 0.017594164237380028)","('창녕', 0.013378594070672989)","('해상', 0.013241846114397049)","('장병', 0.011896481737494469)","('일', 0.010211235843598843)","('육군', 0.009698556736111641)","('해군', 0.009323392063379288)","('지난달', 0.008933543227612972)","('전사자', 0.008908460848033428)","('공군', 0.008436943404376507)","('연기', 0.008235758170485497)","('발사', 0.008218186907470226)","('진행', 0.008019017986953259)","('미사일', 0.007926368154585361)","('제보', 0.007913047447800636)","('경북', 0.00750542338937521)","('작전', 0.007435712032020092)","('군', 0.007341532967984676)","('기상', 0.007077253423631191)","('대대', 0.00695278774946928)","('끝', 0.006796118803322315)","('참가', 0.006713696755468845)","('시행', 0.0066516222432255745)","('구', 0.006625814829021692)","('식', 0.006545634008944035)","('해', 0.006501514930278063)",2020.06.04,4,훈련/ 유해/ 발굴
"('장관', 0.035309821367263794)","('에스', 0.030047869309782982)","('푸다', 0.029708806425333023)","('트럼프', 0.02598227746784687)","('대통령', 0.024872232228517532)","('병력', 0.017565326765179634)","('백악관', 0.014566860161721706)","('진압', 0.014270023442804813)","('하', 0.013012639246881008)","('동원', 0.011112034320831299)","('통신', 0.010518685914576054)","('법', 0.009963670745491982)","('워싱턴', 0.009771226905286312)","('폭동', 0.009123466908931732)","('매카시', 0.009026939980685711)","('군', 0.008812953718006611)","('이날', 0.00856789480894804)","('시위', 0.008477401919662952)","('미', 0.00827412586659193)","('시간', 0.008003383874893188)","('투입', 0.00791744701564312)","('번복', 0.007623570971190929)","('결정', 0.00709800748154521)","('상황', 0.006808644160628319)","('브리핑', 0.006761136464774609)","('국방부', 0.006450520362704992)","('뒤', 0.006333881989121437)","('현역', 0.006296235136687756)","('대응', 0.006192862056195736)","('사용', 0.006109681446105242)",2020.06.04,5,장관/ 에스/ 푸다
