1	북한, 연락사무소 폭파 조치에 "南 저지른 죗값에 상응"(종합)	9	0	폭파 맞고도  가만히 있는 간첩 정부ㅋㅋㅋ 전쟁 안끝난 휴전 상태에서 무력엔 무력으로 대응해야지 ㅋㅋ간첩을 대통령으로 뽑고 간첩들이 의석수 다채우고 있으니 ㅋㅋ	2020.06.20. 00:22:41	0.05
2	북한, 연락사무소 폭파 조치에 "南 저지른 죗값에 상응"(종합)	9	0	아니 근데 우리 국민들이라도 잘살게 하는게 그게 답이 아니가요!??!다 퍼다줘도 저렇게 나오는데 구지 평화 통일이라는 명목으로 비위맞춰가면서 할필요가 있을까싶네요ㅜㅜ그냥 대한민국 남한부터 챙기소서ㅜㅜㅜㅜ	2020.06.20. 00:08:59	-0.05
3	“연락사무소 폭파는 북 상황 안좋다는 방증… 복음으로 구원해야”	8	0	하나님 우리가 스스로 낮추고 기도하며 하나님 얼굴 구합니다. 우리로 악한길에서 떠나게 도와주시고 우리죄 용서하시고 이땅 고쳐주소서 !!!	2020.06.20. 03:24	-0.166666666666667
4	연락사무소 폭파됐는데… 역사 교과서엔 "남북긴장 대전환"	7	0	역사왜곡 공정,문죄인 우상화!	2020.06.20. 15:07	0.0
5	연락사무소 폭파가 "물리적 행동 첫 단계"라는 북한…추가도발 암시?	7	0	개성공단과 금강산시설 폭파해주기바란다 우리는 다시 재개할 생각 1도없으니까 우리시설 도둑놈들 처럼 재사용할 꿈도꾸지 말고 깔끔히 폭파시켜라	2020.06.20. 10:13	-0.105263157894737
1	[무플방지]북한 연락사무소 폭파하자 "탈북자들 신변 주의합시다"	1653	89	북한이 우리세금으로 지은 우리건물을 지들 마음대로 폭파시켜버렸으니 우리도 북한이 아끼는 청와대와 민주당 당사를 철거합시다	2020.06.21. 00:11:15	-0.142857142857143
2	[무플방지]북한 연락사무소 폭파하자 "탈북자들 신변 주의합시다"	889	13	문재인이 북한과 핫라인이 연결되었다며 전화통 붙들고 있는 사진 엄청 선전했었지  마치 언제든지 김정은하고 전화할 수 있을거처럼 거짓말 쇼하더니 그 놈의 전화 한번도 사용못함	2020.06.21. 00:18:10	0.125
3	[무플방지]북한 연락사무소 폭파하자 "탈북자들 신변 주의합시다"	609	11	삐라 문제가 아니었으면 남북관계가 여전히 좋았을거라고???????????????? 북한놈들을 한 시간 삼십분 정도 보고 하는 얘기라면 내가 가만 있어주겠다만, 정말 그냥 처 웃기고 좌파졌네	2020.06.21. 00:23:10	-0.222222222222222
4	‘北 연락사무소 폭파’ 배상 요구, 뾰족수 없는 정부	427	12	무능한 문죄인이  배상해야 한다	2020.06.21. 20:38	-1.66666666666667
5	[무플방지]북한 연락사무소 폭파하자 "탈북자들 신변 주의합시다"	308	8	50여개의 댓글을 보는 상황에서 북사이버전사 또는 고정간첩들의 댓글을 읽는 느낌입니다.	2020.06.21. 01:01:16	-0.4
1	남북연락사무소 폭파된 지난주, 文대통령 지지율 4.8%P↓	521	24	주변에 거의 잘못하고 있다는데, 리얼미터는 조사대상이 누군지 밝혀야 한다. 문재인지지자들만 상대로만 조사하나? 믿을수가 없다.	2020.06.22. 10:31:41	0.0
2	정경두 국방장관 "연락사무소 폭파, 9·19 합의파기 아냐"	222	4	김관진 국방부장관 그가 그립습니다	2020.06.22. 15:18:49	0.25
3	‘연락사무소 폭파’에 文지지율도 ‘폭삭’… 일주일새 4.8%p↓	173	4	어차피 조작인거 다 아는데 계속 지지율 높다고 거짓말해. & 415  부정선거 보도하라 부정선거 수사하라 부정선거 사형	2020.06.22. 12:08	-0.5625
4	정경두 국방장관 "연락사무소 폭파, 9·19 합의파기 아냐"	149	2	국방부장이 아니고 인민무력부장이냐?	2020.06.22. 15:18:08	0.0
5	남북연락사무소 폭파된 지난주, 文대통령 지지율 4.8%P↓	144	4	5.34%여도 많겠구만 뭔 53.4%냐 개소리하네	2020.06.22. 11:10:23	-1.0
1	정경두 “北 연락사무소 폭파, 군사합의와 무관”	7	0	국방부  장관이라는  자가   주사파   졸개 같은  짓거리를  하고  있으니  ...저게  장군  출신  맞나?	2020.06.23. 05:51	0.2
2	정경두 “北 연락사무소 폭파, 군사합의와 무관”	6	0	장관이기전에 군인이였고 그것도 장교였던 사람이 딸랑이 하고 있으니 후배장교가 뭘 배우겠냐?  그래 북한은 약속 잘지키고 있다! 왜, 천안함도, 625도 북한의 짓이 아닐수 있다고 하지..  챙피하다. 대한민국에 있다는게......	2020.06.23. 05:48	0.25
3	정경두 “北 연락사무소 폭파, 군사합의와 무관”	5	0	저걸 국방장관이라고.ㅡ진짜한심하다한심해	2020.06.23. 05:58	-0.2
4	정경두 “北 연락사무소 폭파, 군사합의와 무관”	4	0	이런자가 장관이니 부칸넘들 시도때도없이 조롱하고 협박.	2020.06.23. 07:53	-1.2
